Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1922,-.27,-.24,-.18,-.29,-.46,-.44,-.27,-.29,-.28,-.32,-.16,-.23,-.29,-.28,-.24,-.31,-.33,-.25
1923,-.36,-.31,-.28,-.27,-.27,-.33,-.32,-.37,-.43,-.31,-.18,-.16,-.30,-.31,-.30,-.28,-.34,-.31
1924,-.15,-.24,-.17,-.32,-.29,-.31,-.34,-.45,-.40,-.46,-.51,-.49,-.34,-.32,-.18,-.26,-.37,-.46
1925,-.49,-.42,-.32,-.34,-.35,-.37,-.26,-.19,-.32,-.23,-.09,-.07,-.29,-.32,-.47,-.34,-.27,-.22
1926,-.10,-.12,-.14,-.10,-.21,-.28,-.32,-.18,-.23,-.26,-.27,-.27,-.21,-.19,-.10,-.15,-.26,-.25
1927,-.24,-.26,-.29,-.34,-.37,-.39,-.29,-.30,-.26,-.24,-.18,-.25,-.28,-.29,-.26,-.33,-.33,-.23
1928,-.27,-.25,-.25,-.22,-.40,-.43,-.28,-.25,-.26,-.28,-.21,-.28,-.28,-.28,-.26,-.29,-.32,-.25
1929,-.32,-.36,-.46,-.46,-.47,-.46,-.38,-.43,-.29,-.26,-.17,-.40,-.37,-.36,-.32,-.46,-.42,-.24
1930,-.46,-.33,-.32,-.33,-.28,-.31,-.36,-.29,-.27,-.23,-.07,-.16,-.29,-.31,-.40,-.31,-.32,-.19
1931,-.18,-.15,-.12,-.23,-.22,-.29,-.14,-.16,-.29,-.25,-.35,-.20,-.21,-.21,-.16,-.19,-.19,-.30
1932,-.09,-.15,-.16,-.21,-.24,-.42,-.34,-.35,-.31,-.31,-.21,-.30,-.26,-.25,-.15,-.20,-.37,-.28
1933,-.27,-.28,-.27,-.31,-.32,-.37,-.30,-.33,-.31,-.33,-.38,-.36,-.32,-.31,-.28,-.30,-.33,-.34
1934,-.30,-.40,-.33,-.33,-.27,-.28,-.17,-.14,-.16,-.25,-.20,-.22,-.25,-.27,-.35,-.31,-.20,-.21
1935,-.26,-.30,-.32,-.38,-.29,-.39,-.38,-.36,-.35,-.21,-.18,-.16,-.30,-.30,-.26,-.33,-.38,-.25
1936,-.26,-.24,-.29,-.33,-.31,-.47,-.28,-.28,-.24,-.12,-.11,-.17,-.26,-.26,-.22,-.31,-.34,-.16
1937,-.24,-.18,-.17,-.24,-.22,-.24,-.21,-.11,-.10,-.15,-.07,-.14,-.17,-.18,-.20,-.21,-.19,-.11
1938,-.19,-.21,-.15,-.20,-.22,-.28,-.18,-.21,-.16,-.04,-.17,-.13,-.18,-.18,-.18,-.19,-.22,-.13
1939,-.15,-.13,-.12,-.13,-.10,-.14,-.15,-.19,-.26,-.15,-.09,.10,-.13,-.15,-.14,-.12,-.16,-.17
1940,.12,.04,.17,.09,.07,.07,.10,.08,.08,-.03,.07,.30,.10,.08,.09,.11,.08,.04
1941,.20,.17,.10,.22,.14,.08,.21,.13,-.03,.23,.29,.26,.17,.17,.22,.15,.14,.16
1942,.18,.14,.12,.10,.06,.00,.01,.00,-.16,-.25,-.08,-.04,.01,.03,.19,.09,.00,-.17
1943,.07,-.05,-.08,-.10,-.10,-.04,.18,-.08,-.04,.00,.04,.08,-.01,-.02,-.01,-.09,.02,.00
1944,.08,.05,.21,.21,.14,.16,.23,.22,.20,.09,.03,.09,.14,.14,.07,.19,.20,.11
1945,.10,.08,.03,.10,.05,-.05,.02,.25,.21,.13,.07,.09,.09,.09,.09,.06,.07,.14
1946,-.03,-.03,-.08,-.20,-.16,-.37,-.21,-.31,-.12,-.17,-.17,-.15,-.17,-.15,.01,-.15,-.30,-.16
